Well	Field	Cell Number	Top	Left	CircAvgIntenCh2	CircRingAvgIntenRatioCh2
C3	15	2	39	15	48.34920635	8.55E-02
C3	15	3	99	40	48.51428571	0.24435786
C3	15	4	117	309	48.74401914	0.784896142
C3	15	5	147	140	48.89224138	1.442243096
C3	15	6	166	25	48.90909091	2.253955323
C3	15	7	204	460	49.04444444	1.488235555
C3	15	8	205	77	49.16761364	0
C3	15	9	212	74	49.27835052	0
C3	15	10	222	419	49.50378788	0.164293043
C3	15	11	224	394	49.5483871	0.348483492
C3	15	12	228	419	50.01149425	0.881564408
C3	15	13	252	220	50.05194805	0.843699997
C3	15	14	261	309	50.05714286	1.251007556
C3	15	15	265	204	50.47540984	1.623288526
C3	15	16	269	322	50.54805195	1.34312342
C3	15	17	269	339	50.76836158	0.421349034
C3	15	18	289	159	50.80099502	1.49723828
C3	15	19	299	266	51.06041667	0.922525962
C3	15	20	301	282	51.33333333	0.243633677
C3	15	21	304	247	51.61706349	1.153673785
C3	15	22	365	227	52.48357664	2.200083742
C3	15	23	376	477	52.54347826	0
C3	15	24	391	469	52.60824742	0.710599212
C3	15	25	393	479	52.79777778	0
C3	15	26	394	451	52.88297872	0.834483319
C3	15	27	400	432	53.29207921	1.33E-02
C3	15	28	402	177	53.47912088	1.403528384
C3	15	29	460	413	53.58736842	1.28082709
C3	15	30	462	431	53.5942029	1.27112326
C3	16	1	45	194	53.76571429	2.710236654
C3	16	2	46	176	54.34736842	1.025593009
C3	16	3	49	140	54.51373626	1.532573134
C3	16	4	59	13	54.93640351	1.616456655
C3	16	5	72	230	55.05555556	1.253898385
C3	16	6	73	412	55.1870229	1.52521263
C3	16	7	75	210	55.45	0.824626979
C3	16	8	80	372	55.70967742	0.687690758
C3	16	9	82	402	56.00714286	1.406114418
C3	16	10	98	96	56.0952381	0.276014186
C3	16	11	99	65	56.59471366	2.071385795
C3	16	12	109	278	56.6	1.45711724
C3	16	13	144	359	56.79954442	1.703906987
C3	16	14	147	68	57.0625	1.159106205
C3	16	15	181	54	57.144	1.860631921
C3	16	16	206	275	57.24444444	1.556589851
C3	16	17	214	143	57.37362637	1.441917579
C3	16	18	232	462	57.55428571	1.546476686
C3	16	19	236	30	57.87475149	7.25E-02
C3	16	20	250	273	58.00307692	0
C3	16	21	295	236	58.39328537	2.049812867
C3	16	22	298	435	59.21283784	1.24006864
C3	16	23	314	287	59.32673267	0
C3	16	24	345	223	59.69411765	5.46E-03
C3	16	25	351	167	59.73666667	0.911361091
C3	16	26	359	269	59.77666667	0
C3	16	27	365	280	59.87113402	1.559757609
C3	16	28	376	334	59.88668555	1.853215702
C3	16	29	378	308	60.07731959	0
C3	16	30	382	303	60.08173077	1.214731973
C3	16	31	395	355	60.17241379	4.57E-02
C3	16	32	405	325	60.32360743	2.99E-02
C3	16	33	437	12	60.53333333	1.720405193
C3	17	1	18	267	60.82673267	1.389177698
C3	17	2	72	482	60.88990826	1.418042991
C3	17	3	82	137	61.36708861	1.401980805
C3	17	4	84	129	61.42105263	0
C3	17	5	86	88	61.51498638	0.227476729
C3	17	6	89	77	61.67788462	0.676683707
C3	17	7	89	123	62.23809524	0
C3	17	8	90	105	62.66507177	1.89915644
C3	17	9	91	351	63.09187279	2.603317891
C3	17	10	93	168	63.15972222	0
C3	17	11	99	342	63.3877551	1.777522074
C3	17	12	102	165	63.70212766	0
C3	17	13	107	100	63.88953488	0
C3	17	14	125	254	64.01639344	2.495294332
C3	17	15	129	39	64.32771084	0
C3	17	16	139	62	64.47058824	0
C3	17	17	141	71	64.73643411	0.284590455
C3	17	18	143	31	64.80246914	1.60930068
C3	17	19	144	394	64.91176471	1.836982227
C3	17	20	158	438	65	1.143482183
C3	17	21	170	205	65.02816901	2.308482053
C3	17	22	175	331	65.91176471	0
C3	17	23	188	327	66.06521739	1.49040419
C3	17	24	190	198	66.32142857	6.65E-02
C3	17	25	211	269	66.50930626	2.070784236
C3	17	26	212	134	66.58152174	1.200235833
C3	17	27	236	398	67.43014706	1.510316561
C3	17	28	248	44	67.5	0.95754295
C3	17	29	263	35	67.77777778	0
C3	17	30	263	109	68.09227468	0.776522161
C3	17	31	266	82	68.26595745	1.04977418
C3	17	32	272	125	68.28378378	1.034231505
C3	17	33	283	481	68.34	3.82E-02
C3	17	34	286	430	68.44094488	1.099324704
C3	17	35	289	474	68.49097473	0
C3	17	36	290	221	69.34057971	0.556714746
C3	17	37	294	80	69.73668639	0
C3	17	38	296	189	70.54480287	1.149759668
